Date;AAD;AAJ;AAR;ADA;AIO;ASC;AWY;BAS;BFE;BHU;BLI;BRO;BSI;CFE;CHO;CIR;CJO;CRO;DDA;DGR;DHE;DKA;DMA;DMO;DOB;DST;DTE;DWA;FRU;FSC;GAL;GRO;GTR;GWA;HAS;HEM;HKE;HMA;HSC;IHU;IKO;ISP;IWI;JBUE;JDE;JEI;JGA;JMO;JRA;JRE;KFI;KST;KWI;LBO;LBU;LIS;LMA;LMUE;LOR;LRU;LSO;MBO;MBR;MCR;MDA;MFA;MGI;MHE;MLA;MMA;MMO;MPL;MSC;MVA;NAC;NBA;NGR;NKA;NNA;NRA;OMO;PBA;PFA;PGM;PMU;PNI;PSA;PSC;RAF;RBL;RBUE;RFR;RGA;RIS;RSC;RTH;SBI;SBL;SFO;SFR;SJA;SKO;SNE;SOL;SPO;SRA;SST;STE;STH;SZO;TBU;TFE;TSC;UWY;VDO;VNA;VRA;VSC;VTS;WJU;YBE;YHU;YKR;YLI
18.12.25;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;h;1;0.5/x;1;1;1;h;1;h;1;1;1;1;1;1;1;1;1;h;1;1;1;1;1;1;1;h;1;1;1;1;1;1;1;1;1;1;1;$;1;1;1;1;1;1;1;1;1;1;h;1;x;1;1;1;1;1;1;1;1;1;1;1;1;1;1;m;11;1;mu;1;1;1;1;x;1;1;1;1;c;0.5/x;1;1;1;c;1;1;h;1;0.5/x;1;1;1;1;1;1;1;1;1;0.5/h;1;1;1;1;1
19.12.25;1;1;1;x;1;1;1;x;1;0.5/x;1;1;1;1;x;1;1;1;1;h;1;1;1;1;1;h;1;h;1;h;1;1;1;1;x;1;x;h;1;1;1;1;1;1;1;1;1;1;1;x;1;1;1;1;x;1;1;$;1;1;1;1;1;1;1;1;1;x;h;1;1;x;1;1;1;x;1;1;1;1;1;x;1;1;1;m;11;1;mu;x;h/0.5;1;1;x;1;x;1;1;c;1;1;1;1;x;1;1;h;1;0.5/x;1;1;1;1;1;1;1;1;x;h/x;1;1;1;1;1
22.12.25;h;1;x;1;1;1;1;x;1;h;1;h;1;1;1;1;h;1;1;h;1;1;1;h;x;c;1;h;1;h;1;1;1;1;h;1;h;h;1;1;1;1;x;1;h;1;1;1;1;h;x;x;1;1;1;1;1;$;1;1;h;c;1;h;1;1;1;x;h;1;1;1;1;1;1;h;1;x;1;1;1;h;h;h;1;h;11;x;mu;h;h;1;h;x/0.5;h;x;1;1;c;h;1;1;h;1;h;1;h;1;h/x;1;1;1;1;h;1;x/h;1;c;h;h;1;1;h;1
23.12.25;h;1;1;1;1;1;1;x;1;h;1;h;1;1;h;1;h;1;1;h;1;h;1;h;h;c;1;h;1;h;1;1;1;1;h;1;h;h;1;1;1;1;1;1;h;1;h;1;1;h;h;1;1;1;1;1;1;$;1;1;h;c;1;h;1;0.5/x;1;h;h;1;x;0.5/x;1;1;1;h;1;x;1;1;1;h;h;h;1;h;11;h;mu;h;h;1;h;x;h;h;1;1;c;h/x;1;1;h;1;h;1;h;1;h/x;1;1;1;1;h;1;x/h;1;c;h;h;1;h;h;1
24.12.25;h/p;c/p;0.5/p;0.5/p;0.5/p;h/p;c/p;x/p;h/p;c/p;0.5/p;h/p;0.5/p;0.5/p;0.5/p;0.5/p;x/p;0.5/p;0.5/p;h/p;c/p;h/p;0.5/p;h/p;h/p;h/p;1;h/p;0.5/p;h/p;0.5/p;h/p;0.5/p;0.5/p;h/p;0.5/p;h/p;h/p;0.5/p;1;0.5/p;0.5/p;0.5/p;c/p;c/p;0.5/p;h/p;0.5/p;1;h/p;h/p;0.5/p;x/p;x/p;0.5/p;0.5/p;1;$/p;1;0.5/p;h/p;c/p;0.5/p;h/p;0.5/p;x/p;0.5/p;h/p;h/p;1;c/p;0.5/p;h/p;h/p;1;0.5/p;0.5/p;h/p;0.5/p;h/p;1;h/p;h/p;h/p;0.5/p;x/p;11;x/p;mu/p;h/p;h/p;x/p;h;0.5/p;h/p;h/p;0.5/p;0.5/p;c/p;h/p;0.5/p;0.5/p;h/p;c/p;h/p;1;h/p;0.5/p;x/p;0.5/p;0.5/p;h/p;0.5/p;h/p;0.5/p;x/p;1;c/p;h/p;x/p;0.5/p;h/p;h/p;1
25.12.25;p;p;p;p;p;p;p;p;p;p;p;p;p;p;p;p;p;p;p;p;p;p;p;p;p;p;1;p;p;p;p;p;p;p;p;p;p;p;p;1;p;p;p;p;p;p;p;p;1;p;p;p;p;p;p;p;1;p;1;p;p;p;p;p;p;p;p;p;p;1;p;p;p;p;1;p;p;p;p;p;1;p;p;p;p;p;11;p;p;p;p;p;p;p;p;p;p;p;p;p;p;p;p;p;p;1;p;p;p;p;p;p;p;p;p;p;1;p;p;p;p;p;p;1
26.12.25;p;p;p;p;1;p;p;p;p;p;p;p;p;p;p;p;p;x;p;p;p;p;p;p;p;p;1;p;p;p;p;p;p;p;p;p;p;p;p;1;p;p;p;p;p;p;p;1;1;p;p;p;p;p;p;1;1;p;1;p;p;p;p;p;p;p;p;p;p;1;p;p;p;p;1;p;p;p;1;p;1;p;p;p;p;p;11;p;p;p;p;p;h;p;p;p;p;p;p;p;p;p;p;p;p;1;p;p;p;p;p;p;p;p;h;p;1;p;p;p;1;p;p;1
29.12.25;h;1;x;1;1;1;1;x;1;c;1;h;1;h;h;h;h;1;1;h;1;h;1;1;h;h;1;h;1;h;1;h;1;1;h;c;h;h;1;1;h;h;x;c;h;1;h;h;1;h;x;x;1;x;h;1;1;$;1;1;h;c;1;1;h;1;1;x;1;1;1;1;1;h;1;h;h;x;1;h;1;h;h;h;1;h;11;x;mu;x;h;1;h;x/0.5;h;x;1;1;h;h;1;c;1;1;h;1;h;1;h/x;1;1;h;1;1;x;x/h;1;c;h;h;1;1;h;1
30.12.25;h;1;1;1;1;1;1;x;1;c;1;h;1;h;h;h;h;1;1;h;1;h;1;1;h;h;1;h;1;h;1;h;1;1;h;c;h;h;1;1;h;h;1;c;h;1;h;h;1;h;h;1;1;x;h;1;1;$;1;1;h;c;1;1;h;0.5/x;1;h;1;1;x;0.5/x;1;h;1;h;h;x;1;h;1;h;h;h;1;h;11;x;mu;x;h;1;h;x;h;h;1;1;h;h/x;1;c;1;1;h;1;h;1;h/x;1;1;h;1;1;h;x/h;1;c;h;h;1;1;h;1
31.12.25;h/p;c/p;0.5/p;0.5/p;0.5/p;h/p;c/p;x/p;h/p;c/p;0.5/p;h/p;0.5/p;x/p;0.5/p;h/p;x/p;0.5/p;0.5/p;h/p;h/p;h/p;0.5/p;h/p;h/p;h/p;1;h/p;0.5/p;h/p;0.5/p;h/p;0.5/p;0.5/p;h/p;c/p;h/p;h/p;0.5/p;1;0.5/p;h/p;0.5/p;c/p;c/p;0.5/p;h/p;h/p;1;h/p;h/p;0.5/p;x/p;x/p;0.5/p;c/p;1;$/p;1;0.5/p;h/p;c/p;0.5/p;0.5/p;h/p;x/p;0.5/p;h/p;0.5/p;1;c/p;0.5/p;c/p;c/p;1;0.5/p;h/p;h/p;0.5/p;h/p;1;h/p;h/p;h/p;0.5/p;x/p;11;x/p;mu/p;x/p;h/p;x/p;h;0.5/p;h/p;h/p;0.5/p;0.5/p;h/p;h/p;0.5/p;c/p;h/p;0.5/p;h/p;1;h/p;0.5/p;x/p;0.5/p;0.5/p;h/p;0.5/p;0.5/p;h/p;x/p;1;c/p;h/p;x/p;0.5/p;0.5/p;h/p;1
